Lost (Original Rd),Pick,Round,Team,Selection
Pedro Martinez (1),1,1,Boston,Pedro Martinez
Ryan Klesko (4),2,1,Laramie,Scott Rolen
Roger Cedeno (6),3,1,New York,Roger Cedeno
Darin Erstad (9),4,1,Chicago,Kevin Sefcik
Jeff Zimmerman (9),5,2,Boston,Ron Villone
Kevin Sefcik (10),6,2,Laramie,Mike Redmond
Ron Villone (11),7,2,New York,Jeff Zimmerman
Rob Ducey (12),8,2,Chicago,Vinny Castilla
Jimmy Haynes (14),9,3,Boston,Rob Ducey
Vinny Castilla (15),10,3,Laramie,Barry Bonds
Mike Redmond (15),11,3,New York,Mike Lansing
Mike Lansing (16),12,3,Chicago,Ryan Klesko
Bret Boone (18),13,4,Boston,Darin Erstad
Kelly Stinnett (18),14,4,Laramie,Tony Gwynn
Freddy Garcia (UD),15,4,New York,Dave Martinez
Scott Rolen (UD),16,4,Chicago,Richard Hidalgo
Billy Wagner (UD),17,5,Boston,Jeffrey Hammonds
Eric Gagne (UD),18,5,Boston,Aaron Boone
Bobby Abreu (UD),19,5,New York,Alex Cora
Nelson Cruz (UD),20,5,Chicago,Freddy Garcia
