Lost,Pick,Round,Team,Selection,Notes
Jarrod Washburn,1,1,Boston,Carlos Delgado,
Kevin Appier (NYM),2,1,Laramie,Mike Morgan,
Mark L. Johnson,3,1,Ann Arbor,Scott Rolen,
Edgar Renteria,4,1,Boston,Barry Larkin,
Brian Giles,5,1,New York,Darin Erstad,
Rob Bell,6,2,Fargo,Trevor Hoffman,"woopsy-doopsy, David Wells (CHW) originally"
Ricky Bottalico,7,2,Laramie,David Wells (CHW),"woopsy-doopsy, David Wells (TOR) originally taken"
Charles Johnson (CHW),8,2,Ann Arbor,Chan Ho Park,
Travis Fryman,9,2,Boston,Manny Ramirez (CLE),
Manny Ramirez (CLE),10,2,New York,Jeff Cirillo,
Chan Ho Park,11,3,Fargo,David Wells (TOR),
David Wells (TOR),12,3,Laramie,Jeff D'Amico,"woopsy-doopsy, Jeff Kent originally taken"
Eric Young,13,3,Ann Arbor,Jeff Kent,
Moises Alou,14,3,Fargo,Jarrod Washburn,
Adam Kennedy,15,3,New York,Omar Vizquel,
Julian Tavarez,16,4,Fargo,C.C. Sabathia,
Scott Schoeneweis,17,4,Laramie,Livan Hernandez,
Doug Creek,18,4,Ann Arbor,Brad Ausmus (HOU),
Charles Johnson (FLA),19,4,Fargo,Johnny Damon (KCR),
John Vander Wal,20,4,New York,Jeff Frye,
Eddie Guardado,21,5,Fargo,Moises Alou,
Chris Stynes (CIN),22,5,Boston,Randy Velarde (TEX),
Denny Hocking,23,5,Ann Arbor,Matt Kinney,
Warren Morris,24,5,Fargo,Fernando Tatis (MON),
Kevin Jordan,25,5,New York,Charles Johnson (CHW),
,26,ADD/DROP1,Fargo,"Pick up: Helling, Beck, Riedling, Stynes (BOS), Sheffield, Brogna (DH), Taubensee (Bench), Alex Gonzalez (Bench), Lenny Harris (Bench), Peter Bergeron (Bench); Drop: Harnisch, Lima, B. Wells, Embree, Reyes, Glaus, A. Joes, Alou, Joyner, Soriano, Martinez, J. Nelson (NYY)",
,27,ADD/DROP1,Laramie,,
,28,ADD/DROP1,Ann Arbor,,
,29,ADD/DROP1,Boston,,
,30,ADD/DROP1,New York,,
,31,ADD/DROP2,Fargo,,
,32,ADD/DROP2,Laramie,,
,33,ADD/DROP2,Ann Arbor,,
,34,ADD/DROP2,Boston,,
,35,ADD/DROP2,New York,,
