Lost (Original Rd),Pick,Round,Team,Selection
C.C. Sabathia (1),1,1,Laramie,C.C. Sabathia
Greg Maddux (4),2,1,Boston,Alex Gonzalez
Ryan Klesko (4),3,1,New York,Brad Ausmus (HOU)
Alex Gonzalez (5),4,1,Chicago,Craig Biggio
Scott Sauerbeck (6),5,2,Boston,Tim Bogar
Fernando Vina (7),6,2,Laramie,Mike Redmond
Henry Blanco (8),7,2,New York,Fernando Vina
Brad Ausmus (HOU) (8),8,2,Chicago,Scott Sauerbeck
Craig Biggio (9),9,3,Laramie,Greg Maddux
Mike Hampton (COL) (10),10,3,Boston,Tom Gordon
Homer Bush (11),11,3,New York,Corey Koskie
Tim Bogar (13),12,3,Chicago,Ryan Klesko
Jimmy Haynes (14),13,4,Laramie,Aaron Boone
Mike Redmond (15),14,4,Boston,Jerry Hairston Jr.
Jimmy Rollins (16),15,4,Boston,Bobby Abreu
Aaron Boone (18),16,4,Chicago,Henry Blanco
Tony Armas Jr. (UD),17,5,Laramie,Jimmy Haynes
Armando Benitez (UD),18,5,Boston,Ramon Martinez
Rusty Greer (UD),19,5,Boston,Cliff Politte
Butch Huskey (UD),20,5,Chicago,Jeff Reed
