SS,Alex Rodriguez (TEX),Alex Rodriguez (TEX),Alex Rodriguez (TEX),Alex Rodriguez (TEX),Alex Rodriguez (TEX),Alex Rodriguez (TEX),Jose Valentin (SS/OF),Benji Gil,Edgar Renteria,Edgar Renteria,Edgar Renteria,Edgar Renteria,Edgar Renteria,Barry Larkin,Omar Vizquel,Omar Vizquel,Nomar Garciaparra,Barry Larkin,Barry Larkin,Jose Valentin (SS),Nomar Garciaparra,Nomar Garciaparra,Jose Valentin (SS),Nomar Garciaparra
3B,Bill Spiers,Jeff Cirillo,Jeff Cirillo,Jeff Cirillo,Jeff Cirillo,Jeff Cirillo,Jeff Cirillo,Jeff Cirillo,Fernando Tatis (STL),Chipper Jones,Adrian Beltre,Scott Rolen,Corey Koskie,Corey Koskie,Corey Koskie,Ken Caminiti,Ken Caminiti,Jeff Cirillo,Jeff Cirillo,Jeff Cirillo,Corey Koskie,Scott Rolen,Scott Rolen,Scott Rolen
LF,Rickey Henderson,Mark Kotsay,Mark Kotsay,Mark Kotsay,Mark Kotsay,Mark Kotsay,Mark Kotsay,Brady Anderson,Magglio Ordonez,Bobby Abreu,Bobby Abreu,J.D. Drew,J.D. Drew,Ellis Burks (CLE),Ellis Burks (CLE),Ellis Burks (SFG),Bobby Abreu,Bobby Abreu,Bobby Abreu,Bobby Abreu,Roger Cedeno,Shawn Green,Gary Sheffield,Cliff Floyd
CF,Mike Cameron,Richard Hidalgo,Richard Hidalgo,Doug Glanville,Richard Hidalgo,Richard Hidalgo,Richard Hidalgo,Juan Pierre,Richard Hidalgo,Johnny Damon (OAK),Brian Giles,Ken Griffey Jr.,Brian Giles,Brian Giles,Johnny Damon (OAK),Johnny Damon (OAK),Johnny Damon (OAK),Brian Giles,Brian Giles,Ken Griffey Jr.,Richard Hidalgo,Richard Hidalgo,Richard Hidalgo,Ken Griffey Jr.
RF,Vladimir Guerrero,Magglio Ordonez,Magglio Ordonez,John Vander Wal,Vladimir Guerrero,Shawn Green,Darin Erstad,Jeffrey Hammonds,Jeffrey Hammonds,Vladimir Guerrero,Ellis Burks (SFG),Ellis Burks (SFG),Jeffrey Hammonds,Shawn Green,Bobby Abreu,Bobby Abreu,Jeffrey Hammonds,John Vander Wal,J.D. Drew,J.D. Drew,Sammy Sosa,Sammy Sosa,Sammy Sosa,Gary Sheffield
DH,Melvin Mora (OF),Rob Ducey,Rob Ducey,Rob Ducey,Timoniel Perez,Eric Owens,Eric Owens,Todd Walker,Carlos Febles,Sandy Alomar Jr. (CLE),Ron Coomer,Julio Lugo,Roger Cedeno,Chad Curtis,Derek Bell (PIT),Rondell White,Todd Walker,Ben Petrick,Ben Grieve (OAK),Juan Pierre,Eric Owens,Greg Vaughn,Geoff Jenkins,Gregg Zaun
B,Jose Offerman,Wiki Gonzalez,Wiki Gonzalez,Wiki Gonzalez,Mark Loretta,Carlos Febles,Corey Patterson,Roosevelt Brown,Mike Benjamin,Vernon Wells,Damon Buford,Dan Wilson,Wiki Gonzalez,Matt LeCroy,Corey Patterson,Corey Patterson,Corey Patterson,Wally Joyner,Jose Offerman,Scott Hatteberg,Todd Walker,Todd Hollandsworth,Corey Koskie,Ben Grieve (TBD)
B,Alex Gonzalez,Kelly Stinnett,Kelly Stinnett,Kelly Stinnett,Vinny Castilla,Mike Lansing,Alex Cora,Mickey Morandini,Sandy Alomar Jr. (CLE),Alex Cora,Marquis Grissom,Alex Cora,Terry Jones,Dave Hansen,Milton Bradley,Sandy Alomar Jr. (CLE),Danny Bautista,Doug Glanville,Cristian Guzman,Corey Patterson,Lee Stevens,Pokey Reese,Roger Cedeno,
B,,,,Jeff Reed,Kevin Sefcik,Kevin Sefcik,,Felix Martinez,Felix Martinez,Rey Ordonez,Carlos Febles,Jose Offerman,Jose Offerman,Matt Stairs,Deivi Cruz,Adam Kennedy,Felix Martinez,Mark Loretta,Carlos Febles,,,,,
B,,,,,,,,,,,,,D'Angelo Jimenez,,,,,,,,,,,
