Lost,Pick,Round,Team,Selection,Notes
Tom Gordon,1,1,Ann Arbor,Jarrod Washburn,
Adrian Beltre,2,1,Fargo,Ivan Rodriguez,
Tom Goodwin,3,1,Laramie,Tim Bogar,
Jerry Hairston Jr.,4,1,Laramie,Edgardo Alfonzo,
Keith Lockhart,5,1,New York,Gabe White,
Nomar Garciaparra,6,2,Ann Arbor,Bob Wickman,
Peter Bergeron,7,2,Fargo,Dave Magadan,
Dan Wilson,8,2,San Diego,Rafael Furcal,
Mike Lieberthal,9,2,San Diego,Jeff Nelson (SEA),
Arthur Rhodes,10,2,New York,Derek Jeter,
Bobby Abreu,11,3,Ann Arbor,Jerry Hairston Jr.,
Vladimir Guerrero,12,3,Fargo,Chan Ho Park,
Scott Strickland,13,3,San Diego,Quilvio Veras,
Chan Ho Park,14,3,San Diego,Manny Ramirez (CLE),
Kazuhiro Sasaki,15,3,New York,Mike Lieberthal,
A.J. Burnett,16,4,Ann Arbor,Adrian Beltre,
Kelly Stinnett,17,4,Fargo,Pete Harnisch,
Jason Kendall,18,4,San Diego,Terry Jones,
Ken Caminiti,19,4,San Diego,Mike Redmond,
Barry Bonds,20,4,New York,Eric Gagne,
Rick Helling,21,5,Ann Arbor,Brian Giles,
Luis Matos,22,5,Fargo,Jeff Nelson (NYY),
Jose Vizcaino,23,5,San Diego,Jason Giambi,
Jim Edmonds,24,5,San Diego,Rob Bell,
Jeff Nelson (NYY),25,5,New York,Joe Randa,
,26,ADD/DROP1,Ann Arbor,,
,27,ADD/DROP1,Fargo,,
,28,ADD/DROP1,Laramie,,
,29,ADD/DROP1,San Diego,,
,30,ADD/DROP1,New York,,
,31,ADD/DROP2,Ann Arbor,,
,32,ADD/DROP2,Fargo,,
,33,ADD/DROP2,Laramie,,
,34,ADD/DROP2,San Diego,,
,35,ADD/DROP2,New York,,
