Lost,Pick,Round,Team,Selection,Notes
Matt Mantei,1,1,NY South,Pedro Martinez,
Paul Abbott,2,1,Cincinnati,Jeff Kent,
Ellis Burks (CLE),3,1,Ann Arbor,Aaron Sele,
Moises Alou,4,1,Boston,Charles Johnson (FLA),
Melvin Mora (OF),5,1,New York,Nomar Garciaparra,
Carlos Delgado,6,2,NY South,Jarrod Washburn,
Chipper Jones,7,2,Cincinnati,Darin Erstad,
John Vander Wal,8,2,Ann Arbor,Gary Sheffield,
Bobby Higginson,9,2,Boston,Armando Benitez,
Scott Hatteberg,10,2,New York,Barry Bonds,
Pedro Martinez,16,ADD/DROP1,NY South,,
Buddy Groom,17,ADD/DROP1,Cincinnati,,
LaTroy Hawkins,18,ADD/DROP1,Ann Arbor,,
Dave Weathers,19,ADD/DROP1,Boston,,
Nomar Garciaparra,20,ADD/DROP1,New York,,
Randy Johnson,21,ADD/DROP2,NY South,,
Jeff Kent,22,ADD/DROP2,Cincinnati,,
David Segui (CLE),23,ADD/DROP2,Ann Arbor,,
Ben Sheets,24,ADD/DROP2,Boston,,
Keith Foulke,25,ADD/DROP2,New York,,
Octavio Dotel (SP),,,,,
Jeff Frye,,,,,
Barry Bonds,,,,,
Brian Giles,,,,,
Manny Ramirez (CLE),,,,,
