Lost,Pick,Round,Team,Selection,Notes
Rick White,1,1,Cincinnati,Jeff D'Amico,
LaTroy Hawkins,2,1,Cincinnati,Alex Rodriguez (SEA),
Jeff Bagwell,3,1,Boston,Frank Thomas,
Alex Rodriguez (SEA),4,1,New York,Arthur Rhodes,
Mike Lowell,5,1,Ann Arbor,Richard Hidalgo,
Masato Yoshii,6,2,Cincinnati,Carlos Delgado,
Jeff Nelson (NYY),7,2,Cincinnati,Mariano Rivera,
Greg Swindell,8,2,Boston,Vladimir Guerrero,
Dave Weathers,9,2,New York,Jeff Nelson (SEA),
Fernando Tatis (MON),10,2,Ann Arbor,Scott Rolen,
Jose Rosado,16,ADD/DROP1,Cincinnati,,
Paul Abbott,17,ADD/DROP1,NY South,,
Edgar Martinez,18,ADD/DROP1,Boston,,
Jermaine Dye,19,ADD/DROP1,New York,,
Mike Darr,20,ADD/DROP1,Ann Arbor,,
Frank Castillo,21,ADD/DROP2,Cincinnati,,
Roberto Alomar,22,ADD/DROP2,NY South,,
Dave Veres,23,ADD/DROP2,Boston,,
Corey Koskie,24,ADD/DROP2,New York,,
Richard Hidalgo,25,ADD/DROP2,Ann Arbor,,
Rob Bell,,,,,
Arthur Rhodes,,,,,
John Franco,,,,,
Chris Kreuter,,,,,
Ron Belliard,,,,,
