Lost,Pick,Round,Team,Selection,Notes
Aaron Sele,1,1,Ann Arbor,Pedro Martinez,
Steve Karsay,2,1,NY South,Chan Ho Park,
Geoff Jenkins,3,1,Detroit,Jason Giambi,
Jeff Bagwell,4,1,New York,Brian Giles,
Richard Hidalgo,5,1,Boston,Ellis Burks (SFG),
Paul Abbott,6,2,Ann Arbor,Nomar Garciaparra,
Pat Rapp,7,2,NY South,Jeff Nelson (NYY),
Kevin Walker,8,2,Detroit,Billy McMillon,
Mike Cameron,9,2,New York,Barry Bonds,
Frank Thomas,10,2,Boston,Tom Gordon,
Randy Johnson,16,ADD/DROP1,Ann Arbor,,
Jason Isringhausen,17,ADD/DROP1,NY South,,
Bill Spiers,18,ADD/DROP1,Detroit,,
Bill Mueller (SFG),19,ADD/DROP1,New York,,
Kevin Young,20,ADD/DROP1,Boston,,
Rob Bell,21,ADD/DROP2,Ann Arbor,,
Todd Pratt,22,ADD/DROP2,NY South,,
Jason Giambi,23,ADD/DROP2,Detroit,,
Nomar Garciaparra,24,ADD/DROP2,New York,,
Julian Tavarez,25,ADD/DROP2,Boston,,
Pedro Martinez,,,,,
Jeff Nelson (SEA),,,,,
Anthony Telford,,,,,
Bernie Williams,,,,,
Charles Johnson (CHW),,,,,
