Lost (Original Rd),Pick,Round,Team,Selection
Alex Rodriguez (TEX) (2),1,1,New York,Alex Rodriguez (TEX)
Chan Ho Park (3),2,1,Ann Arbor,Robert Person
Corey Koskie (5),3,1,Laramie,Lenny Harris
Rey Ordonez (5),4,1,Boston,Tom Gordon
Lenny Harris (6),5,1,Fargo,Nomar Garciaparra
Jeff Zimmerman (9),6,2,New York,Corey Koskie
Kevin Sefcik (10),7,2,Ann Arbor,Kevin Sefcik
Robert Person (11),8,2,Laramie,Rey Ordonez
Wilton Guerrero (12),9,2,Boston,Ramon Martinez
Doug Creek (13),10,2,Fargo,Chan Ho Park
Cliff Politte (14),11,3,New York,Cliff Politte
Ramon Martinez (15),12,3,Ann Arbor,Jeff Zimmerman
Jeff Brantley (16),13,3,Laramie,Doug Creek
Mike Lansing (16),14,3,Boston,Jeff Brantley
Garrett Stephenson (UD),15,3,Fargo,Mike Lansing
Jeff Frye (UD),16,ADD/DROP1,New York,"Tony Armas, Jarrod Washburn, Justin Speier, Mark L. Johnson, Jeff Frye, Dave Magadan"
Bobby Abreu (UD),17,ADD/DROP1,Ann Arbor,"Damion Easley, Jose Valentin (BS), Kazuhiro Sasaki, Billy Wagner, Corey Patterson, Alex Cora"
Nelson Cruz (UD),18,ADD/DROP1,Laramie,"Edgar Renteria, Ken Griffey Jr., Kelly Stinnett, Tim Hudson, Rolando Arrojo, John Vander Wal"
Dave Magadan (UD),19,ADD/DROP1,Boston,"John Olerud, Johnny Damon (KCR), Roger Cedeno"
Tom Gordon (UD),20,ADD/DROP1,Fargo,"Rick Helling, Johnny Damon (OAK), Nelson Cruz, Fernando Tatis (MTL)"
Nomar Garciaparra (UD),21,ADD/DROP2,New York,"Kevin Brown, Mark Wohlers, Manny Ramirez (BOS), Wilton Guerrero"
Rod Beck (UD),22,ADD/DROP2,Ann Arbor,N/A
Billy Wagner (UD),23,ADD/DROP2,Laramie,N/A
Jorge Posada (UD),24,ADD/DROP2,Boston,N/A
Alex Cora (UD),25,ADD/DROP2,Fargo,N/A
