Lost,Pick,Round,Team,Selection,Notes
Barry Zito,1,1,Laramie,Barry Zito,
Jeff Nelson (SEA),2,1,Boston,Robb Nen,
Quilvio Veras,3,1,NYDC,Chan Ho Park,
Vladimir Guerrero,4,1,New York,Jim Edmonds,
Darren Lewis,5,1,Redwood City,Aaron Sele,
Robb Nen,6,2,Laramie,Jason Isringhausen,
Trevor Hoffman,7,2,Boston,Justin Speier,
Mike Lieberthal,8,2,Laramie,Jeff Conine,
Brian Giles,9,2,New York,Rick White,
Geoff Jenkins,10,2,Redwood City,Jeffrey Hammonds,
Jeff D'Amico,11,3,NYDC,Troy Glaus,
Rick Aguilera,12,3,Boston,Andruw Jones,
Jason Giambi,13,3,NYDC,Pat Rapp,
Ken Griffey Jr.,14,3,New York,Todd Pratt,
Carlos Febles,15,3,Redwood City,Nomar Garciaparra,
Chan Ho Park,16,4,Laramie,Livan Hernandez,
Paul Abbott,17,4,Boston,Tony Armas Jr.,
Kip Wells,18,4,NYDC,Vladimir Guerrero,
Felix Heredia,19,4,New York,Edgardo Alfonzo,
Vernon Wells,20,4,Redwood City,Robert Person,
Jose Rosado,21,5,NYDC,Mike Piazza,
Kevin Walker,22,5,Boston,Todd Helton,
Ken Caminiti,23,5,NYDC,Sammy Sosa,
Sandy Alomar Jr. (CLE),24,5,New York,Mark Grace (CHC),
Adam Kennedy,25,5,Redwood City,Bob Wickman,
,26,ADD/DROP1,Laramie,,
,27,ADD/DROP1,Boston,,
,28,ADD/DROP1,NYDC,,
,29,ADD/DROP1,New York,,
,30,ADD/DROP1,Redwood City,,
,31,ADD/DROP2,Laramie,,
,32,ADD/DROP2,Boston,,
,33,ADD/DROP2,NYDC,,
,34,ADD/DROP2,New York,,
,35,ADD/DROP2,Redwood City,,
