Lost,Pick,Round,Team,Selection,Notes
Jeff Cirillo,1,1,Laramie,Robb Nen,
Todd Walker,2,1,New York,Tom Gordon,
Bob Howry,3,1,Boston,Barry Zito,
Felipe Lira,4,1,Fargo,Chris Stynes (BOS),
Ron Villone,5,1,Ann Arbor,Mariano Rivera,
Rick Helling,6,2,Laramie,Paul Lo Duca,
Johnny Damon (OAK),7,2,New York,Arthur Rhodes,
Fernando Tatis (MON),8,2,Boston,Bobby Higginson,
Rod Beck,9,2,Fargo,Billy McMillon,
Robb Nen,10,2,Ann Arbor,Jose Rosado,
Damion Easley,11,3,Laramie,Mike Darr,
Johnny Damon (KCR),12,3,New York,Tim Hudson,
Barry Zito,13,3,Boston,Eric Gagne,
Juan Pierre,14,3,Fargo,Brian Giles,
Tom Gordon,15,3,Ann Arbor,Travis Harper,
Tom Goodwin,16,4,Laramie,Julian Tavarez,
Barry Larkin,17,4,New York,Brad Ausmus (HOU),
Ramon Martinez,18,4,Boston,Eric Gagne,
Greg Swindell,19,4,Fargo,Rick Helling,
Kevin Jordan,20,4,Ann Arbor,Edgar Renteria,
Mark McGwire,21,5,Laramie,Neifi Perez,
Mariano Rivera,22,5,New York,Dan Wilson,
John Vander Wal,23,5,Ann Arbor,Carlos Febles,
Alex Gonzalez,24,5,Fargo,Mark Grace (CHC),
Mark Smith,25,5,Ann Arbor,Fernando Tatis (STL),
,26,ADD/DROP1,Laramie,"Jose Vizcaino, Terry Jones, Wiki Gonzalez, Jeff Bagwell, Barry Bonds, Darin Erstad, Bill Mueller (SFG), Andruw Jones, Rod Beck, Onan Masaoka, C.J. Nitkowski, Mike Hampton (NYM), Jeff D'Amico",
,27,ADD/DROP1,New York,"Frank Castillo, Rob Bell, Rich Garces, Luis Castillo, Jeff Cirillo, Denny Hocking, Luis Rivas, Tim Bogar, Marquis Grissom, Russ Johnson",
,28,ADD/DROP1,Boston,"Jose Silva, Ivan Rodriguez, Homer Bush, Travis Fryman, Marvin Benard, Cliff Floyd, Melvin Mora (OF), Butch Huskey, D’Angelo Jimenez, and Rob Ducey",
,29,ADD/DROP1,Fargo,"David Wells (CHW), Odalis Perez, Curtis Leskanic, Moises Alou, Gary Sheffield, Rich Becker, Troy Glaus, Robert Fick, Mark Smith, Michael Barrett, Wes Helms",
,30,ADD/DROP1,Ann Arbor,"Richard Hidalgo, Magglio Ordonez, Ryan Klesko, Mike Wendell, Jeff Zimmerman, Mike Benjamin, Sandy Alomar (CLE)",
,31,ADD/DROP2,Laramie,"Brian Giles, Jarrod Washburn, Matt Williams",
,32,ADD/DROP2,New York,Milton Bradley,
,33,ADD/DROP2,Boston,"Russ Johnson, Dennys Reyes",
,34,ADD/DROP2,Fargo,N/A,
,35,ADD/DROP2,Ann Arbor,N/A,
