Lost (Original Rd),Pick,Round,Team,Selection
Ugueth Urbina (3),1,1,New York,Kevin Brown
Keith Foulke (13),2,1,Boston,Alex Rodriguez (SEA)
Ryan Klesko (4),3,1,Chicago,Ugueth Urbina
Richard Hidalgo (20),4,1,Laramie,Alex Gonzalez
Wiki Gonzalez (UD),5,2,New York,Vinny Castilla
Cliff Politte (14),6,2,Boston,Lenny Harris
Alex Rodriguez (SEA) (3),7,2,Chicago,Keith Foulke
Aaron Boone (18),8,2,Laramie,Terry Jones
Lenny Harris (6),9,3,New York,Manny Ramirez (BOS)
Kevin Sefcik (10),10,3,Boston,Brad Ausmus (DET)
Kevin Brown (2),11,3,Chicago,Ryan Klesko
Jason Giambi (UD),12,3,Laramie,Cliff Politte
Nomar Garciaparra (UD),13,4,New York,Jason Giambi
Manny Ramirez (BOS) (18),14,4,Boston,Kevin Sefcik
Vinny Castilla (15),15,4,Chicago,Wiki Gonzalez
Odalis Perez (UD),16,4,Laramie,Chad Kreuter
Doug Creek (13),17,5,New York,Doug Creek
Brad Ausmus (DET) (8),18,5,Boston,Aaron Boone
Alex Gonzalez (5),19,5,Chicago,Richard Hidalgo
Terry Jones (8),20,5,Laramie,Odalis Perez
