Lost,Pick,Round,Team,Selection,Notes
Julian Tavarez,1,1,Laramie,Robb Nen,
Alan Embree,2,1,New York,Manny Ramirez (CLE),
Charles Johnson (CHW),3,1,NYDC,Ivan Rodriguez,
Calvin Murray,4,1,Redwood City,Travis Harper,
Lenny Harris,5,1,Boston,Armando Benitez,
Hideo Nomo (BOS),6,2,Laramie,Mariano Rivera,
Derek Lowe,7,2,New York,Derek Lowe,
Rusty Greer,8,2,NYDC,Alex Rodriguez (SEA),
Damon Buford,9,2,Redwood City,Jose Rosado,
Alfonso Soriano,10,2,Boston,Jeff Nelson (SEA),
Manny Ramirez (CLE),11,3,Laramie,Tony Womack,
Ivan Rodriguez,12,3,New York,Eric Davis,
Pete Harnisch,13,3,NYDC,Will Clark,
Vernon Wells,14,3,Redwood City,Al Leiter,
Jeff Nelson (SEA),15,3,Boston,Vladimir Guerrero,
David Wells (TOR),16,4,Laramie,Scott Elarton,
Paul Abbott,17,4,New York,Matt Morris,
Russ Ortiz,18,4,NYDC,David Wells (TOR),
Jose Jimenez,19,4,Redwood City,Ken Caminiti,
Corey Koskie,20,4,Boston,Rafael Furcal,
Robb Nen,21,5,Laramie,Carlos Delgado,
Jose Rosado,22,5,New York,Charles Johnson (CHW),
Felix Rodriguez,23,5,NYDC,Jose Vidro,
Chad Kreuter,24,5,Redwood City,Felix Rodriguez,
Adam Kennedy,25,5,Boston,Quilvio Veras,
,26,ADD/DROP1,Laramie,,
,27,ADD/DROP1,New York,,
,28,ADD/DROP1,NYDC,,
,29,ADD/DROP1,Redwood City,,
,30,ADD/DROP1,Boston,,
,31,ADD/DROP2,Laramie,,
,32,ADD/DROP2,New York,,
,33,ADD/DROP2,NYDC,,
,34,ADD/DROP2,Redwood City,,
,35,ADD/DROP2,Boston,,
