Lost,Pick,Round,Team,Selection,Notes
Keith Foulke,1,1,New York,Barry Bonds,
Danny Graves,2,1,Laramie,Jason Giambi,
Brad Ausmus (HOU),3,1,Ann Arbor,Bobby Abreu,
Bobby Abreu,4,1,Laramie,Rick White,
Brian Giles,5,1,Boston,Frank Thomas,
Roger Clemens,6,2,New York,Troy Glaus,
Armando Benitez,7,2,Laramie,Brady Anderson,
Scott Sullivan,8,2,Ann Arbor,Roberto Alomar,
Todd Zeile,9,2,Laramie,Marvin Benard,
Marcus Giles,10,2,Boston,Charles Johnson (FLA),
Mike Mussina (BAL),16,ADD/DROP1,New York,,
Ryan Kohlmeier,17,ADD/DROP1,NY South,,
Mark L. Johnson,18,ADD/DROP1,Ann Arbor,,
Michael Tucker,19,ADD/DROP1,Laramie,,
Richard Hidalgo,20,ADD/DROP1,Boston,,
Mike Fetters,21,ADD/DROP2,New York,,
Jorge Posada,22,ADD/DROP2,Laramie,,
Edgardo Alfonzo,23,ADD/DROP2,Ann Arbor,,
Mike Lowell,24,ADD/DROP2,NY South,,
Ben Petrick,25,ADD/DROP2,Boston,,
Mike Stanton,,,,,
Mark Grace (ARI),,,,,
Troy Glaus,,,,,
Barry Bonds,,,,,
Johnny Damon (KCR),,,,,
