Lost,Pick,Round,Team,Selection,Notes
Darryl Kile,1,1,Laramie,Greg Maddux,
Trevor Hoffman,2,1,New York,Kevin Brown,
Gabe White,3,1,Boston,Barry Larkin,
Juan Acevedo,4,1,Boston,Jose Rosado,
Miguel Tejada,5,1,Redwood City,Jeff Kent,
Brad Ausmus (DET),6,2,Laramie,Tom Glavine,
Jose Vidro,7,2,Redwood City,Johnny Damon (OAK),
Barry Larkin,8,2,Boston,Chipper Jones,
Shawn Green,9,2,NYDC,Ivan Rodriguez,
Matt LeCroy,10,2,New York,Alex Rodriguez (TEX),
Carlos Delgado,11,3,Laramie,Ray Durham,
Rafael Furcal,12,3,Redwood City,Bobby Abreu,
Travis Fryman,13,3,NYDC,Alex Rodriguez (SEA),
Manny Ramirez (CLE),14,3,NYDC,C.C. Sabathia,
Michael Barrett,15,3,Redwood City,Omar Vizquel,
Mark Wohlers,16,4,Laramie,Julian Tavarez,
Ivan Rodriguez,17,4,Redwood City,Russ Ortiz,
Alex Rodriguez (TEX),18,4,NYDC,Jeff Nelson (SEA),
Chris Stynes (BOS),19,4,NYDC,Manny Ramirez (CLE),
Terry Jones,20,4,New York,Tom Gordon,
Greg Maddux,21,5,Laramie,Geoff Jenkins,
Kevin Brown,22,5,Redwood City,Kevin Walker,
Rob Bell,23,5,NYDC,Chris Stynes (BOS),
Rich Becker,24,5,NYDC,Bernie Williams,
Ben Petrick,25,5,New York,Herbert Perry,
,26,ADD/DROP1,Laramie,"Jason Bere, Hoffman, Todd Jones, Embree, Creek, Charles Johnson (CWS), Giambi, Rolen, Jeter, Stewart, Edmonds, Calvin Murray (as DH), Pat Meares, Wes Helms, Lenny Harris.",
,27,ADD/DROP1,Redwood City,"Brad Ausmus (HOU), Jason Christiansen, Eric Davis, Corey Patterson, Milton Bradley, Deivi Cruz",
,28,ADD/DROP1,Boston,"Rob Bell, Felix Rodriguez, Troy Percival, Chad Kreuter (The General), Mike Sweeney, Luis Castillo, Larry Walker, Richard Hidalgo, Bobby Higginson, Mark Grace CHC, Sandy Alomar CHW, Wilton Guerrero, Aramis Ramirez, Adam Kennedy",
,29,ADD/DROP1,NYDC,"Beck, Grimsley, Nomar, Floyd, Brogna, Vernon Wells, O’Leary, Mike Benjamin, Joyner",
,30,ADD/DROP1,New York,"D’Amico, Nomo (BOS), VDS, McGwire, Vina, Becker, Knoblauch, Rivas, Soriano, Greene",
,31,ADD/DROP2,Laramie,N/A,
,32,ADD/DROP2,Redwood City,Bell (PIT),
,33,ADD/DROP2,Boston,N/A,
,34,ADD/DROP2,NYDC,N/A,
,35,ADD/DROP2,New York,N/A,
