Lost,Pick,Round,Team,Selection,Notes
Carlos Delgado,1,1,Laramie,Ivan Rodriguez,"oopsie doopsie, originally drafted Jason Giambi"
Rico Brogna,2,1,NY South,Jeff Nelson (NYY),
Rick White,3,1,Ann Arbor,Richard Hidalgo,
Francisco Cordova,4,1,New York,Barry Bonds,
Mike Holtz,5,1,Laramie,Edgardo Alfonzo,
Rafael Palmeiro,6,2,Laramie,Rick White,
Russ Ortiz,7,2,NY South,Aaron Sele,
Jeff Nelson (NYY),8,2,Ann Arbor,Nomar Garciaparra,
Matt Morris,9,2,New York,(pass),
Vicente Padilla,10,2,Boston,Andruw Jones,
Bob Wickman,16,ADD/DROP1,Laramie,,
Bob Howry,17,ADD/DROP1,NY South,,
Bobby Abreu,18,ADD/DROP1,Ann Arbor,,
Jose Valentin (SS),19,ADD/DROP1,New York,,
Joey Hamilton,20,ADD/DROP1,Boston,,
Todd Pratt,21,ADD/DROP2,Laramie,,
Livan Hernandez,22,ADD/DROP2,NY South,,
Barry Bonds,23,ADD/DROP2,Ann Arbor,,
Adam Piatt,24,ADD/DROP2,New York,,
Eric Milton,25,ADD/DROP2,Boston,,
Tony Armas Jr.,,,,,
David Segui (BAL),,,,,
Olmedo Saenz,,,,,
Paul Shuey,,,,,
Richard Hidalgo,,,,,
