Lost,Pick,Round,Team,Selection,Notes
Pedro Martinez,1,1,New York,Pedro Martinez,Finally : )
Brad Penny,2,1,NYDC,Greg Maddux,
Justin Speier,3,1,Laramie,Matt Morris,
Mike Lieberthal,4,1,Ann Arbor,Kevin Brown,
Barry Larkin,5,1,Laramie,Alex Rodriguez (SEA),
Hideo Nomo (BOS),6,2,New York,Julian Tavarez,
Jason Isringhausen,7,2,NYDC,Chris Stynes (BOS),
Antonio Alfonseca,8,2,Boston,Ellis Burks (SFG),
Fernando Tatis (MON),9,2,Ann Arbor,Jeff Cirillo,
Homer Bush,10,2,Boston,Armando Benitez,
John Smoltz,11,3,New York,Fernando Tatis (STL),
Matt Morris,12,3,NYDC,Ricky Gutierrez,
Rick White,13,3,Laramie,Ichiro,
Todd Pratt,14,3,Ann Arbor,Barry Larkin,
Chris Stynes (CIN),15,3,Boston,Ben Sheets,
Greg Maddux,16,4,New York,Trot Nixon,
Edgar Martinez,17,4,NYDC,Johnny Damon (KCR),
Eric Young,18,4,Boston,Jose Valentin (SS),
Vladimir Guerrero,19,4,Ann Arbor,John Vander Wal,
John Olerud,20,4,Boston,Charles Johnson (CHW),
Robert Person,21,5,New York,Todd Pratt,
Bob Wickman,22,5,Laramie,Richard Hidalgo,
Jason Christiansen,23,5,Boston,Carlos Delgado,
Ryan Klesko,24,5,Ann Arbor,Brian Giles,
Jeffrey Hammonds,25,5,Boston,Charles Johnson (FLA),
,26,ADD/DROP1,New York,,
,27,ADD/DROP1,NYDC,,
,28,ADD/DROP1,Boston,,
,29,ADD/DROP1,Ann Arbor,,
,30,ADD/DROP1,Laramie,,
,31,ADD/DROP2,New York,,
,32,ADD/DROP2,NYDC,,
,33,ADD/DROP2,Laramie,,
,34,ADD/DROP2,Ann Arbor,,
,35,ADD/DROP2,Boston,,
