Lost,Pick,Round,Team,Selection,Notes
Turk Wendell,1,1,Ann Arbor,Trevor Hoffman,
Matt Mantei,2,1,New York,Kevin Brown,
Aaron Fultz,3,1,Fargo,Ivan Rodriguez,
Sammy Sosa,4,1,Laramie,Gabe White,
Ellis Burks (SFG),5,1,Boston,Rafael Furcal,
Kevin Brown,6,2,Ann Arbor,Corey Koskie,
Jeff Cirillo,7,2,New York,Jeff Cirillo,
Gabe White,8,2,Fargo,Moises Alou,
Rob Ducey,9,2,Laramie,Jeff D'Amico,
Miguel Cairo,10,2,Boston,Armando Benitez,
Trevor Hoffman,11,3,Ann Arbor,Jeff Bagwell,
Rick Helling,12,3,New York,Matt Lawton,
Johnny Damon (KCR),13,3,Fargo,Johnny Damon (KCR),
Dave Magadan,14,3,Laramie,Scott Elarton,
Ivan Rodriguez,15,3,Boston,Travis Fryman,
Jeff D'Amico,16,4,Ann Arbor,Brian Giles,
Phil Nevin,17,4,New York,Mike Lieberthal,
Adrian Brown,18,4,Fargo,Jeff Nelson (NYY),
Jorge Posada,19,4,Laramie,Mark McGwire,
Billy Koch,20,4,Boston,Charles Johnson (FLA),
Geraldo Guzman,21,5,Ann Arbor,Jeffrey Hammonds,
Mark Wohlers,22,5,New York,Jason Kendall,
Kenny Lofton,23,5,Fargo,John Olerud,
Billy McMillon,24,5,Laramie,Michael Tucker,
Russ Johnson,25,5,Boston,Randy Velarde (TEX),
,26,ADD/DROP1,Ann Arbor,"Tony Armas Jr., Brad Ausmus (DET), Craig Biggio, Roger Cedeno, Wiki Gonzalez, Terry Jones, D’Angelo Jimenez, Jose Paniagua",
,27,ADD/DROP1,New York,"Juan Guzman, Eric Gagne, Rick White, Arthur Rhodes, Mike Trombley, Edgardo Alfonzo, Chuck Knoblauch, Mark Smith, Dave Martinez, Tim Bogar, Marquis Grissom",
,28,ADD/DROP1,Fargo,"Pete Harnisch, Kip Wells, Bob Wells, Jay Powell, Dennys Reyes, Helton, Arod (TEX), Caminiti, Chad Curtis, Craig Counsell, Vernon Wells, Aramis Ramirez, Jeff Reed",
,29,ADD/DROP1,Laramie,"Kile, Matt Williams (DH), Randy Johnson, Ramon Hernandez, Glaus, Simas, Masaoka, Bonds, Patterson, Halter, Dan Wilson",
,30,ADD/DROP1,Boston,"Rick Ankiel, David Ortiz, Bobby Abreu, Mike Lansing, Mike Redmond, Michael Barrett, Dee Brown, Eddie Guardado, Cliff Politte, Tom Goodwin",
,31,ADD/DROP2,Ann Arbor,-,
,32,ADD/DROP2,New York,-,
,33,ADD/DROP2,Fargo,"Wells (CHW), Kline (STL)",
,34,ADD/DROP2,Laramie,"Huskey, Eric Young, Travis Miller",
,35,ADD/DROP2,Boston,"Mark Grace CHC, Frank Castillo, Bobby Higginson, Brent Mayne, Milton Bradley",
