Lost,Pick,Round,Team,Selection,Notes
Moises Alou,1,1,Laramie,Robb Nen,
Michael Barrett,2,1,New York,Mike Lieberthal,
Curtis Leskanic,3,1,Ann Arbor,Chan Ho Park,
Rick Helling,4,1,Laramie,Mariano Rivera,
Greg Maddux,5,1,Laramie,Ron Villone,
Mariano Rivera,6,2,Laramie,Roger Cedeno,
Butch Huskey,7,2,New York,Nomar Garciaparra,
Marvin Benard,8,2,Ann Arbor,Bobby Abreu,
Travis Fryman,9,2,San Diego,Rey Sanchez,
D'Angelo Jimenez,10,2,Fargo,Ellis Burks (CLE),
Mike Benjamin,11,3,Fargo,Ken Griffey Jr.,
Turk Wendell,12,3,New York,Greg Maddux,
Jose Rosado,13,3,Ann Arbor,Vladimir Guerrero,
Ryan Klesko,14,3,San Diego,Charles Johnson (CHW),
Sandy Alomar Jr. (CLE),15,3,Fargo,Mark Grace (ARI),
Brad Ausmus (HOU),16,4,Fargo,Jorge Posada,
Gabe White,17,4,New York,Gabe White,
Tim Bogar,18,4,Ann Arbor,David Wells (TOR),
Jeff Cirillo,19,4,New York,Johnny Damon (KCR),
Derek Jeter,20,4,Fargo,Corey Koskie,
Terry Jones,21,5,Laramie,Lenny Harris,
Mike Darr,22,5,New York,Warren Morris,
Wiki Gonzalez,23,5,Ann Arbor,Johnny Damon (OAK),
Robb Nen,24,5,San Diego,J.D. Drew,
Rod Beck,25,5,Fargo,Rick Helling,
,26,ADD/DROP1,Laramie,"Add: Aramis Ramirez, Joe Girardi, AGonz, Jose Jimenez, House, Jose Silva, Matt Kinney, Kendall, Mussina (BAL), Andruw Jones, Ken Caminiti, Mark McLemore / Drop: Rich Becker, Nitkowski, Masaoka, Hampton, Alfonzo, Giles, Erstad, Lo Duca, Pérez, Williams, Washburn, Vizcaino",
,27,ADD/DROP1,New York,"DROP: Castillo, Hudson, Bell, Garces, Rivas, Hocking, Grissom, Bradley / ADD: Rigdon, Nomo (BOS), Trombley, Larkin, Cirillo, Bergeron, Lewis, W Guerrero",
,28,ADD/DROP1,Ann Arbor,"Drop: Chad Kreuter, Jeff Kent, Fernando Tatis (STL), Jeffrey Hammonds, Magglio Ordonez, Felix Martinez, Richard Hidalgo, Carlos Febles, Robert Person, Jeff Zimmerman / Add: Brad Ausmus (HOU), Ryan Klesko, Jose Vidro, Chipper Jones, Sandy Alomar Jr. (CHW), Vernon Wells, Peter Bergeron, Alex Cora, John Rocker, Carlos Almanzar",
,29,ADD/DROP1,San Diego,"DROP: Pudge, Higginson, CC, Reyes, Gagne, Bush, Floyd, Russ Johnson, Magadan, Mora (OF), Halter / ADD: Troy O’Leary, Dee Brown, Rob Ducey, Keith Lockhart, Joey Hamilton, Rolando Arrojo, Octavio Dotel (RP), Manny Ramirez (CLE), Adrian Beltre, Randy Velarde (TEX), Chuck Knoblauch, Tom Goodwin",
,30,ADD/DROP1,Fargo,,
,31,ADD/DROP2,Laramie,,
,32,ADD/DROP2,New York,,
,33,ADD/DROP2,Ann Arbor,,
,34,ADD/DROP2,San Diego,,
,35,ADD/DROP2,Fargo,,
