Lost,Pick,Round,Team,Selection,Notes
Chan Ho Park,1,1,Boston,Barry Zito,
Trevor Hoffman,2,1,New York,Greg Maddux,
Brad Ausmus (DET),3,1,Laramie,Trevor Hoffman,
Edgar Renteria,4,1,Ann Arbor,Barry Larkin,
Wiki Gonzalez,5,1,Fargo,Chan Ho Park,
Barry Zito,6,2,New York,Mariano Rivera,
Eddie Guardado,7,2,Boston,Cliff Floyd,
Bobby Abreu,8,2,Laramie,Nomar Garciaparra,
Brent Mayne,9,2,Ann Arbor,Ellis Burks (CLE),
Milton Bradley,10,2,Fargo,John Olerud,
Pete Harnisch,11,3,New York,Jason Giambi,
Bob Wells,12,3,New York,Rich Becker,
Jay Powell,13,3,Laramie,Chad Kreuter,
Chad Curtis,14,3,Ann Arbor,Scott Strickland,
Vernon Wells,15,3,Fargo,Darin Erstad,
Tom Gordon,16,4,New York,Rusty Greer,
Nomar Garciaparra,17,4,Boston,David Ortiz,
Johnny Damon (OAK),18,4,Laramie,Joe Girardi,
Corey Patterson,19,4,Ann Arbor,David Wells (TOR),
Shane Halter,20,4,Fargo,Bob Wells,
Greg Maddux,21,5,New York,Tim Hudson,
Juan Guzman,22,5,New York,Derek Lowe,
Rick White,23,5,Laramie,Kris Benson,
Jeff Cirillo,24,5,Ann Arbor,Brad Ausmus (DET),
Matt Lawton,25,5,Fargo,Delino Deshields,
,26,ADD/DROP1,New York,"R Bell, Gutierrez, Tatis (STL), M Ramirez (BOS), C Johnson (CHW), Petrick, Buford, Marlon Anderson, Matos",
,27,ADD/DROP1,Boston,"Rick Ankiel, Jason Bere, Eddie Guardado, Manny Ramirez (CLE), Luis Castillo, Chipper Jones, Mike Cameron, Doug Mirabelli, Carlos Febles, Mickey Morandini, Kevin Sefcik",
,28,ADD/DROP1,Laramie,"Halama, Acevedo, Painter, Sexson (“DH”), Edgar Martinez (to play 1B in NL rules), Tejada, Brady Anderson, Sheffield, Felix Martinez, Tino Martinez",
,29,ADD/DROP1,Ann Arbor,"Paul Abbott, Ben Sheets, Jose Jimenez, Ugueth Urbina, Jose Vidro, Shawn Green, Chad Curtis, Matt LeCroy, Wiki Gonzalez, Matt Stairs",
,30,ADD/DROP1,Fargo," Harnisch, Gomes, Wohlers, Travis Lee (DH), Joyner, Terry Jones, Halter",
,31,ADD/DROP2,New York,"D Martinez, Posada, Helton",
,32,ADD/DROP2,Boston,"Delgado, Fryman, VelardeTEX, Dotel SP, and Michael Barrett",
,33,ADD/DROP2,Laramie,N/A,
,34,ADD/DROP2,Ann Arbor,"Washburn, Hansen",
,35,ADD/DROP2,Fargo,N/A,
